#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
13,Moses Brown,OKC,31,20.3,3.3,6,0.543,0,0,0,1.9,3,0.628,1,2.1,3.3,5,8.3,0.2,0.6,1.1,8.4
14,Kenrich Williams,OKC,60,21.2,3.1,6,0.527,0.8,1.7,0.446,0.6,0.9,0.579,1.1,2.1,1.3,2.9,4.2,2.2,0.8,0.2,7.6
15,Aleksej Pokusevski,OKC,37,23.4,2.8,8.6,0.328,1.2,4.6,0.265,0.6,0.8,0.8,2,1.2,0.7,4,4.7,2,0.4,1.1,7.5
16,Justin Jackson,OKC,33,16.5,2.6,6.4,0.406,1,3.4,0.306,0.9,1.1,0.857,0.9,0.9,0.4,1.7,2.2,1.5,0.5,0.1,7.2
17,Jaylen Hoard,OKC,10,16.5,2.1,4.4,0.477,0,0.5,0,1.7,2.1,0.81,1.4,1.4,1.2,2.2,3.4,0.8,0.6,0.2,5.9
18,Darius Miller,OKC,18,10.9,1.2,2.7,0.458,0.9,2.3,0.405,0.7,0.7,1,0.4,0.7,0.1,1.2,1.3,1.2,0.7,0.3,4.1
19,Josh Hall,OKC,14,12.4,0.6,3.2,0.2,0.1,1.4,0.1,1.2,2.1,0.586,1.1,1.5,0.1,1.9,2,1.3,0,0,2.6
20,Justin Robinson,OKC,9,9.7,0.8,2.3,0.333,0.4,1.6,0.286,0.3,0.6,0.6,0.2,1.1,0.1,0.7,0.8,1,0.3,0,2.3
1,Nikola Vucevic,ORL,44,34.1,9.9,20.6,0.48,2.7,6.5,0.406,2.1,2.5,0.827,1.9,1.8,2,9.8,11.8,3.8,1,0.6,24.5
2,Evan Fournier,ORL,26,30.3,6.5,14.2,0.461,2.8,7.2,0.388,3.8,4.7,0.797,2.1,2.1,0.2,2.7,2.9,3.7,1,0.3,19.7
3,Terrence Ross,ORL,46,29.3,5.5,13.4,0.412,1.9,5.7,0.337,2.6,3,0.87,1.6,1.9,0.3,3.1,3.4,2.3,1,0.5,15.6
4,Aaron Gordon,ORL,25,29.4,5.1,11.7,0.437,1.7,4.5,0.375,2.6,4.2,0.629,2.7,2,1.6,5.1,6.6,4.2,0.6,0.8,14.6
5,"Wendell Carter, Jr.",ORL,14,27.5,5.6,9.9,0.565,0.4,1.3,0.333,2.6,3.6,0.706,1.4,2.3,3.1,6.1,9.1,1.7,1.1,0.9,14.1
6,Markelle Fultz,ORL,8,26.9,5.1,13,0.394,0.5,2,0.25,2.1,2.4,0.895,2.2,2.2,0.6,2.5,3.1,5.4,1,0.2,12.9
7,Cole Anthony,ORL,35,26.7,4.3,11.3,0.386,1.1,3.5,0.303,2,2.4,0.821,1.9,2.1,0.9,3.7,4.5,4.3,0.7,0.5,11.7
8,Gary Harris,ORL,8,26.4,3.2,9.9,0.329,1.1,2.9,0.391,3.1,3.8,0.833,1,1.9,0.5,1,1.5,2.4,0.5,0.4,10.8
9,Dwayne Bacon,ORL,60,25.2,3.9,9.7,0.399,0.9,3,0.309,1.9,2.2,0.844,0.6,1.5,0.3,2.7,3,1.2,0.6,0.1,10.6
10,R.J. Hampton,ORL,15,23.1,3.8,8.7,0.435,0.7,2.6,0.282,1.1,1.8,0.63,1.5,1.5,0.6,3.3,3.9,1.6,0.8,0.3,9.5
11,Michael Carter-Williams,ORL,31,25.8,3.4,8.7,0.389,0.5,2,0.246,1.6,2.6,0.613,2.2,2.6,1.3,3.2,4.5,4.2,0.8,0.5,8.8
12,James Ennis,ORL,39,24.3,2.9,6.1,0.475,1.1,2.6,0.436,1.7,2.1,0.815,0.8,2.1,1.1,3,4.1,1.5,0.8,0.2,8.6
13,Otto Porter,ORL,3,22.2,3,8.3,0.36,0.3,3,0.111,1.7,1.7,1,0,1.3,0,4.7,4.7,1.7,1.3,0,8
