Player,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Mason Jones,PHI,22,4-Jun,200,Arkansas,USA,Undrafted,Undrafted,Undrafted,32,5.3,1.7,1.3,-9.9,1.80%,14.50%,21.70%,55.60%,21.10%
Marvin Bagley III,SAC,22,11-Jun,235,Duke,USA,2018,1,2,37,13.9,7.4,0.9,-5.7,9.10%,19.50%,22.50%,55.30%,5.30%
Marquese Chriss,GSW,23,9-Jun,240,Washington,USA,2016,1,8,2,6.5,6.5,1,-40.3,7.50%,38.50%,25.00%,41.20%,20.00%
Marques Bolden,CLE,23,10-Jun,249,Duke,USA,2019,,,6,1.2,1,0,12.3,8.30%,8.80%,13.60%,53.70%,0.00%
Markus Howard,DEN,22,10-May,175,Marquette,USA,Undrafted,Undrafted,Undrafted,30,1.1,0.4,0.4,-27.8,0.00%,11.20%,22.90%,32.40%,19.40%
Markieff Morris,LAL,31,9-Jun,245,Kansas,USA,2011,1,13,53,7.2,4.5,1.2,0.5,3.90%,17.70%,15.90%,52.90%,8.30%
Markelle Fultz,ORL,22,3-Jun,209,Washington,USA,2017,1,1,8,12.9,3.1,5.4,-6.5,2.10%,9.50%,25.00%,45.80%,29.30%
Marcus Smart,BOS,27,3-Jun,220,Oklahoma State,USA,2014,1,6,41,13.6,3.4,5.5,3.3,2.20%,8.20%,18.00%,55.80%,22.50%
Marcus Morris Sr.,LAC,31,8-Jun,218,Kansas,USA,2011,1,14,49,13.6,4.2,1,4,2.50%,13.60%,19.50%,60.60%,5.50%
Marc Gasol,LAL,36,11-Jun,255,None,Spain,2007,2,48,45,5.3,4.1,2.1,3.5,4.10%,16.40%,12.40%,59.20%,14.10%
Mamadi Diakite,MIL,24,9-Jun,228,Virginia,Guinea,Undrafted,Undrafted,Undrafted,12,2.6,2.3,0.5,10.6,5.50%,16.80%,13.80%,49.00%,7.90%
Malik Monk,CHA,23,3-Jun,200,Kentucky,USA,2017,1,11,32,13.1,2.7,1.9,3.2,1.70%,10.40%,23.60%,59.80%,13.90%
Malik Fitts,LAC,23,8-Jun,230,None,USA,Undrafted,Undrafted,Undrafted,3,1,1,0,-27.3,0.00%,30.00%,12.00%,50.00%,0.00%
Malik Beasley,MIN,24,4-Jun,187,Florida State,USA,2016,1,19,37,19.6,4.4,2.4,-7.2,2.10%,11.20%,23.50%,57.00%,11.40%
Malcolm Brogdon,IND,28,5-Jun,229,Virginia,USA,2016,2,36,54,21.6,5.3,6,0.3,2.90%,11.70%,25.70%,56.40%,27.10%
