#,Player,Team,GP_x,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP_y,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT,Position,SALARY
17,Tyler Johnson,BRK,32,16.8,1.8,4.6,0.401,1.2,3.3,0.381,0.5,0.6,0.842,0.4,1.0,0.2,1.7,1.9,1.0,0.4,0.0,5.4,BKN,28,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,32,5.4,1.9,1.0,2.9,0.9,9.6,13.5,56.0,7.7,75,SG,1620564
18,Alize Johnson,BRK,12,10.6,2.5,4.1,0.612,0.1,0.4,0.2,0.2,0.2,1.0,0.7,0.8,1.5,3.1,4.6,0.8,0.3,0.2,5.3,BKN,25,212,Missouri State,USA,2018,2,50,12,5.3,4.6,0.8,-4.3,12.3,27.0,18.1,63.6,10.7,79,PF,0
19,Mike James,BRK,2,14.0,1.5,4.5,0.333,0.5,1.0,0.5,1.5,3.0,0.5,0.5,0.0,0.5,1.0,1.5,1.5,0.5,0.0,5.0,BKN,30,175,Lamar,USA,Undrafted,Undrafted,Undrafted,2,5.0,1.5,1.5,21.3,3.3,7.1,19.7,43.0,14.3,73,PG,0
20,Chris Chiozza,BRK,22,10.6,1.4,4.0,0.352,0.6,1.9,0.31,0.6,0.8,0.765,0.7,0.9,0.1,1.0,1.1,3.0,0.3,0.3,4.0,BKN,25,175,Florida,USA,Undrafted,Undrafted,Undrafted,22,4.0,1.1,3.0,3.0,1.2,8.8,20.0,46.1,38.2,71,PG,0
21,Reggie Perry,BRK,21,9.5,1.5,3.5,0.419,0.2,1.0,0.2,0.5,0.6,0.769,0.7,1.7,1.1,2.0,3.1,0.7,0.3,0.3,3.6,BKN,21,250,Mississippi State,USA,2020,2,57,21,3.6,3.1,0.7,-6.6,11.2,19.6,19.2,47.7,10.1,80,PF,0
22,Norvel Pelle,BRK,3,9.3,1.0,2.3,0.429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.3,2.3,0.0,0.0,1.0,2.0,NYK,28,231,Iona,USA,Undrafted,Undrafted,Undrafted,8,2.0,1.9,0.1,13.1,9.3,16.9,12.9,54.6,2.3,82,PF,1079322
16,Norvel Pelle,NYK,4,6.4,0.8,1.0,0.75,0.0,0.0,0.0,0.2,0.5,0.5,0.0,0.0,0.2,1.5,1.8,0.0,0.2,0.8,1.8,NYK,28,231,Iona,USA,Undrafted,Undrafted,Undrafted,8,2.0,1.9,0.1,13.1,9.3,16.9,12.9,54.6,2.3,82,PF,1079322
17,Norvel Pelle,SAC,1,3.8,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,NYK,28,231,Iona,USA,Undrafted,Undrafted,Undrafted,8,2.0,1.9,0.1,13.1,9.3,16.9,12.9,54.6,2.3,82,PF,1079322
25,Rodions Kurucs,BRK,5,3.2,0.2,0.6,0.333,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.6,0.4,0.0,0.0,0.6,MIL,23,228,None,Latvia,2018,2,40,21,1.5,1.1,0.5,-0.3,3.7,13.4,14.5,45.9,11.5,81,SF,1780152
27,Rodions Kurucs,HOU,11,6.8,0.5,1.9,0.238,0.2,1.4,0.133,0.1,0.2,0.5,0.8,0.6,0.2,0.8,1.0,0.4,0.5,0.4,1.2,MIL,23,228,None,Latvia,2018,2,40,21,1.5,1.1,0.5,-0.3,3.7,13.4,14.5,45.9,11.5,81,SF,1780152
15,Rodions Kurucs,MIL,5,6.7,1.0,1.6,0.625,0.6,0.8,0.75,0.4,0.4,1.0,0.8,1.6,0.6,1.2,1.8,0.8,0.6,0.0,3.0,MIL,23,228,None,Latvia,2018,2,40,21,1.5,1.1,0.5,-0.3,3.7,13.4,14.5,45.9,11.5,81,SF,1780152
26,Tyler Cook,BRK,4,4.1,0.2,0.8,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.2,0.5,0.5,0.0,0.0,0.5,DET,23,255,Iowa,USA,Undrafted,Undrafted,Undrafted,22,3.5,2.5,0.5,-4.0,7.1,14.0,13.5,58.9,6.3,80,F,0
19,Tyler Cook,DET,17,13.8,1.9,3.1,0.615,0.0,0.0,0.0,0.5,1.1,0.474,0.8,1.2,0.9,2.2,3.1,0.5,0.3,0.0,4.3,DET,23,255,Iowa,USA,Undrafted,Undrafted,Undrafted,22,3.5,2.5,0.5,-4.0,7.1,14.0,13.5,58.9,6.3,80,F,0
1,Terry Rozier,CHA,57,34.0,7.5,16.1,0.465,3.3,8.3,0.403,2.3,2.8,0.825,1.9,1.8,0.6,3.7,4.2,4.1,1.2,0.4,20.6,CHA,27,190,Louisville,USA,2015,1,16,57,20.6,4.2,4.1,-2.0,1.5,10.5,23.8,59.4,18.8,73,SG,18900000
